Codigo Dependencia;Dependencia;Tipo de Inversión;CodBPIN;Nombre Proyecto;Comuna;Nombre Comuna;Inversion;Año;Corte
915;SAPIENCIA;0;160502;APOYO PARA EL ACCESO A LA EDUCACIÓN SUPERIOR;15;Guayabal;$1,650,150,023;2017;31-Dic-2017
915;SAPIENCIA;0;160502;APOYO PARA EL ACCESO A LA EDUCACIÓN SUPERIOR;8;Villa Hermosa;$3,900,354,601;2017;31-Dic-2017
915;SAPIENCIA;0;160502;APOYO PARA EL ACCESO A LA EDUCACIÓN SUPERIOR;5;Castilla;$2,887,762,540;2017;31-Dic-2017
915;SAPIENCIA;0;160502;APOYO PARA EL ACCESO A LA EDUCACIÓN SUPERIOR;6;Doce de Octubre;$2,475,225,035;2017;31-Dic-2017
915;SAPIENCIA;0;160502;APOYO PARA EL ACCESO A LA EDUCACIÓN SUPERIOR;4;Aranjuez;$1,725,156,842;2017;31-Dic-2017
915;SAPIENCIA;0;160502;APOYO PARA EL ACCESO A LA EDUCACIÓN SUPERIOR;2;Santa Cruz;$3,450,313,685;2017;31-Dic-2017
915;SAPIENCIA;0;160502;APOYO PARA EL ACCESO A LA EDUCACIÓN SUPERIOR;1;Popular;$2,325,211,396;2017;31-Dic-2017
915;SAPIENCIA;0;160516;CONSOLIDACIÓN DE LA FORMACIÓN TÉCNICA Y TECNOLÓGICA EN EL SISTEMA DE EDUCACIÓN TERCIARIA;4;Aranjuez;$2,670,802,363;2017;31-Dic-2017
915;SAPIENCIA;0;160502;APOYO PARA EL ACCESO A LA EDUCACIÓN SUPERIOR;99;Toda la Ciudad;$6,413,083,044;2017;31-Dic-2017
915;SAPIENCIA;0;160502;APOYO PARA EL ACCESO A LA EDUCACIÓN SUPERIOR;9;Buenos Aires;$3,225,293,227;2017;31-Dic-2017
915;SAPIENCIA;0;160504;FORTALECIMIENTO DE LA ESTRATEGIA DE EDUCACIÓN SUPERIOR DIGITAL;90;Santa Elena;$323,078,845;2017;31-Dic-2017
915;SAPIENCIA;0;160516;CONSOLIDACIÓN DE LA FORMACIÓN TÉCNICA Y TECNOLÓGICA EN EL SISTEMA DE EDUCACIÓN TERCIARIA;2;Santa Cruz;$5,379,221,663;2017;31-Dic-2017
915;SAPIENCIA;0;160502;APOYO PARA EL ACCESO A LA EDUCACIÓN SUPERIOR;3;Manrique;$2,400,218,215;2017;31-Dic-2017
