Codigo Dependencia;Dependencia;Tipo de Inversión;CodBPIN;Nombre Proyecto;Comuna;Nombre Comuna;Inversion;Año;Corte
741;Secretaría de Infraestructura Física;0;120067;CONSTRUCCIÓN, ADECUACIÓN Y SOSTENIMIENTO DE PUENTES PEATONALES Y VEHICULARES DE MEDELLÍN;15;Guayabal;$64,475,991;2017;31-Dic-2017
741;Secretaría de Infraestructura Física;0;120071;CONSTRUCCIÓN PUENTE CALLE 93-94 (ARANJUEZ - CASTILLA);5;Castilla;$4,352,952,783;2017;31-Dic-2017
741;Secretaría de Infraestructura Física;0;120072;CONSTRUCCION DE VIAS LATERALES QUEBRADA ALTA VISTA;70;Altavista;$15,081,316,899;2017;31-Dic-2017
741;Secretaría de Infraestructura Física;0;120076;CONSTRUCCIÓN DE CICLO RUTAS EN LA CIUDAD DE MEDELLÍN;5;Castilla;$1,985,604;2017;31-Dic-2017
741;Secretaría de Infraestructura Física;0;120076;CONSTRUCCIÓN DE CICLO RUTAS EN LA CIUDAD DE MEDELLÍN;7;Robledo;$1,985,604;2017;31-Dic-2017
741;Secretaría de Infraestructura Física;0;120076;CONSTRUCCIÓN DE CICLO RUTAS EN LA CIUDAD DE MEDELLÍN;10;La Candelaria;$1,985,604;2017;31-Dic-2017
741;Secretaría de Infraestructura Física;0;120076;CONSTRUCCIÓN DE CICLO RUTAS EN LA CIUDAD DE MEDELLÍN;11;Laureles - Estadio;$1,985,604;2017;31-Dic-2017
741;Secretaría de Infraestructura Física;0;120076;CONSTRUCCIÓN DE CICLO RUTAS EN LA CIUDAD DE MEDELLÍN;14;El Poblado;$473,288,678;2017;31-Dic-2017
741;Secretaría de Infraestructura Física;0;120076;CONSTRUCCIÓN DE CICLO RUTAS EN LA CIUDAD DE MEDELLÍN;15;Guayabal;$1,985,604;2017;31-Dic-2017
741;Secretaría de Infraestructura Física;0;120076;CONSTRUCCIÓN DE CICLO RUTAS EN LA CIUDAD DE MEDELLÍN;16;Belén;$1,985,604;2017;31-Dic-2017
741;Secretaría de Infraestructura Física;0;120076;CONSTRUCCIÓN DE CICLO RUTAS EN LA CIUDAD DE MEDELLÍN;4;Aranjuez;$1,985,604;2017;31-Dic-2017
741;Secretaría de Infraestructura Física;0;120069;ESTUDIOS Y DISEÑOS PARA LA INFRAESTRUCTURA VIAL DEL MUNICIPIO DE MEDELLÍN;99;Toda la Ciudad;$457,383,402;2017;31-Dic-2017
741;Secretaría de Infraestructura Física;0;120078;CONSTRUCCIÓN PUI LA IGUANÁ;7;Robledo;$131,561,186;2017;31-Dic-2017
741;Secretaría de Infraestructura Física;0;130359;AUTOPISTAS PARA LA PROSPERIDAD;99;Toda la Ciudad;$52,000,000,000;2017;31-Dic-2017
742;Secretaría de Medio Ambiente;0;160138;FORTALECIMIENTO DEL BIENESTAR ANIMAL;90;Santa Elena;$10,055,108,396;2017;31-Dic-2017
742;Secretaría de Medio Ambiente;0;160174;FORTALECIMIENTO DE LOS PROCESOS AMBIENTALES EN LOS CORREGIMIENTOS;15;Guayabal;$252,403,183;2017;31-Dic-2017
742;Secretaría de Medio Ambiente;0;160174;FORTALECIMIENTO DE LOS PROCESOS AMBIENTALES EN LOS CORREGIMIENTOS;14;El Poblado;$252,403,184;2017;31-Dic-2017
742;Secretaría de Medio Ambiente;0;160169;APOYO EN LAS INTERVENCIONES AMBIENTALES INTEGRALES;90;Santa Elena;$697,550,000;2017;31-Dic-2017
742;Secretaría de Medio Ambiente;0;160166;HABILITACIÓN AMBIENTAL DEL MORRO DE BASURAS DE MORAVIA;3;Manrique;$1,061,758,226;2017;31-Dic-2017
742;Secretaría de Medio Ambiente;0;160139;DESARROLLO DE ESTRATEGIAS LÚDICAS PARA EL BIENESTAR ANIMAL;90;Santa Elena;$150,000,000;2017;31-Dic-2017
742;Secretaría de Medio Ambiente;0;160164;ADMINISTRACIÓN DEL SISTEMA DE GESTIÓN AMBIENTAL;90;Santa Elena;$1,806,645,346;2017;31-Dic-2017
742;Secretaría de Medio Ambiente;0;160174;FORTALECIMIENTO DE LOS PROCESOS AMBIENTALES EN LOS CORREGIMIENTOS;16;Belén;$252,403,183;2017;31-Dic-2017
742;Secretaría de Medio Ambiente;0;160174;FORTALECIMIENTO DE LOS PROCESOS AMBIENTALES EN LOS CORREGIMIENTOS;50;San Sebastián de Palmitas;$252,403,183;2017;31-Dic-2017
742;Secretaría de Medio Ambiente;0;160174;FORTALECIMIENTO DE LOS PROCESOS AMBIENTALES EN LOS CORREGIMIENTOS;60;San Cristobal;$252,403,183;2017;31-Dic-2017
742;Secretaría de Medio Ambiente;0;160178;DESARROLLO DE ACTIVIDADES EDUCATIVAS PARA EL CUIDADO DEL MEDIO AMBIENTE;90;Santa Elena;$900,000,000;2017;31-Dic-2017
742;Secretaría de Medio Ambiente;0;160186;DESARROLLO DE ACTIVIDADES EDUCATIVAS PARA LA PREVENCIÓN DEL MALTRATO ANIMAL;90;Santa Elena;$200,000,000;2017;31-Dic-2017
742;Secretaría de Medio Ambiente;0;160188;DISEÑO Y EJECUCIÓN DE LA CAMPAÑA EDUCATIVA PARA PROMOVER LA MOVILIDAD SOSTENIBLE;90;Santa Elena;$116,097,280;2017;31-Dic-2017
742;Secretaría de Medio Ambiente;1;160577;17PP99-FORTALECIMIENTO DE LA CULTURA AMBIENTAL;1;Popular;$326,898,662;2017;31-Dic-2017
742;Secretaría de Medio Ambiente;1;160577;17PP99-FORTALECIMIENTO DE LA CULTURA AMBIENTAL;3;Manrique;$83,582,962;2017;31-Dic-2017
742;Secretaría de Medio Ambiente;0;160131;MANTENIMIENTO E INTERVENCIONES DE CAUCES DE QUEBRADAS;50;San Sebastián de Palmitas;$58,252,919;2017;31-Dic-2017
742;Secretaría de Medio Ambiente;1;160577;17PP99-FORTALECIMIENTO DE LA CULTURA AMBIENTAL;6;Doce de Octubre;$320,651,418;2017;31-Dic-2017
742;Secretaría de Medio Ambiente;1;160577;17PP99-FORTALECIMIENTO DE LA CULTURA AMBIENTAL;8;Villa Hermosa;$149,732,739;2017;31-Dic-2017
